,component,cui,name
0,vascular disease,S-1748006,Thrombophlebitis of deep femoral vein (disorder)
1,vascular disease,S-232044006,Hemispheric retinal vein occlusion with neovascularization (disorder)
2,vascular disease,S-132291000119106,Acute deep venous thrombosis of femoral vein (disorder)
3,vascular disease,S-52984008,Injury of common femoral artery (disorder)
4,vascular disease,S-56231002,Purpura annularis telangiectodes of Majocchi (disorder)
5,vascular disease,S-402664001,Localized cutaneous vasculitis (disorder)
6,vascular disease,S-718614004,"Telangiectasia, erythrocytosis, monoclonal gammopathy, perinephric fluid collections and intrapulmonary shunting syndrome (disorder)"
7,vascular disease,S-404670008,Cholesterol retinal embolus (disorder)
8,vascular disease,S-285753002,Injury of vein of lower limb (disorder)
9,vascular disease,S-95578000,Renal vasculitis (disorder)
10,vascular disease,S-35709005,Injury of ulnar artery (disorder)
11,vascular disease,S-16001751000119100,Fibromuscular hyperplasia of bilateral carotid arteries (disorder)
12,vascular disease,S-297153009,Profunda femoris artery thrombosis (disorder)
13,vascular disease,S-240482001,Enteroviral exanthem (disorder)
14,vascular disease,S-404669007,Platelet-fibrin retinal embolus (disorder)
15,vascular disease,S-762630002,Occlusion of left middle cerebral artery by embolus (disorder)
16,vascular disease,S-457602002,Occlusion of femoral vein (disorder)
17,vascular disease,S-285711003,Injury of artery of upper limb (disorder)
18,vascular disease,S-238774003,Idiopathic livedo reticularis with winter ulceration (disorder)
19,vascular disease,S-9177003,Histiocytic vasculitis of skin (disorder)
20,vascular disease,S-461562004,Atresia of aortic arch with fibrous cord (disorder)
21,vascular disease,S-192763001,Phlebitis of central nervous system venous sinuses (disorder)
22,vascular disease,S-200259003,Cerebral venous thrombosis in pregnancy (disorder)
23,vascular disease,S-677791000119101,Occlusion of right branch retinal artery (disorder)
24,vascular disease,S-86299006,Tetralogy of Fallot (disorder)
25,vascular disease,S-461624009,Acquired luminal obstruction of aortic arch between left common carotid artery and right common carotid artery (disorder)
26,vascular disease,S-210898005,Injury of lesser saphenous vein at lower leg level (disorder)
27,vascular disease,S-132531000119105,Chronic thrombosis of superficial vein of upper extremity (disorder)
28,vascular disease,S-193379006,Retinal venous engorgement (disorder)
29,vascular disease,S-57614009,Aneurysm of pancreaticoduodenal artery (disorder)
30,vascular disease,S-762253006,Common arterial trunk with pulmonary dominance co-occurrent with interrupted aortic arch (disorder)
31,vascular disease,S-238778000,Angiodyskinesia (disorder)
32,vascular disease,S-234005004,Vertebral artery rupture (disorder)
33,vascular disease,S-45894003,Medionecrosis of aorta (disorder)
34,vascular disease,S-233967001,Common iliac artery stenosis (disorder)
35,vascular disease,S-195405004,Phlebitis of popliteal vein (disorder)
36,vascular disease,S-195423007,Phlebitis of the external iliac vein (disorder)
37,vascular disease,S-842041000000107,Occlusion of radial artery (disorder)
38,vascular disease,S-297137006,Celiac artery embolus (disorder)
39,vascular disease,S-253649001,Aortic tunnel (disorder)
40,vascular disease,S-276594006,Perinatal rupture of superficial cerebral vein (disorder)
41,vascular disease,S-141631000119100,Male hot flash (disorder)
42,vascular disease,S-254775002,Bregeat's syndrome (disorder)
43,vascular disease,S-199195007,Maternal rubella in the puerperium - baby delivered during previous episode of care (disorder)
44,vascular disease,S-449025004,Vascular ring with left aortic arch and right arterial duct ligament arising from retroesophageal aortic diverticulum with aberrant right subclavian artery (disorder)
45,vascular disease,S-210787002,"Open injury, subclavian artery (disorder)"
46,vascular disease,S-230730001,Dissection of vertebral artery (disorder)
47,vascular disease,S-448517004,Vascular ring with left aortic arch and retroesophageal right descending aorta and right arterial duct arising from aortic diverticulum and aberrant right subclavian artery (disorder)
48,vascular disease,S-722287002,Autism and facial port-wine stain syndrome (disorder)
49,vascular disease,S-449184004,Dilatation of descending aorta (disorder)
50,vascular disease,S-59047005,Aortointestinal fistula (disorder)
51,vascular disease,S-15649481000119103,Aneurysm of left femoral artery (disorder)
52,vascular disease,S-73173006,Spasm of cerebral arteries (disorder)
53,vascular disease,S-210841003,"Open injury, ulnar artery (disorder)"
54,vascular disease,S-440441004,Vascular insufficiency of limb (disorder)
55,vascular disease,S-403650009,Stellate pseudoscar caused by corticosteroid (disorder)
56,vascular disease,S-195448005,Varicose veins of the leg with rupture (disorder)
57,vascular disease,S-93067003,Congenital elongation of innominate artery (disorder)
58,vascular disease,S-253664001,Vascular ring with right aortic arch (disorder)
59,vascular disease,S-277313007,Unruptured internal carotid-anterior communicating artery zone aneurysm (disorder)
60,vascular disease,S-12237351000119106,Aneurysm of artery of left lower limb (disorder)
61,vascular disease,S-268184003,Hypoplasia of aorta (disorder)
62,vascular disease,S-734384004,Thrombosis of right middle cerebral artery (disorder)
63,vascular disease,S-312998003,Central retinal vein occlusion - non-ischemic (disorder)
64,vascular disease,S-429397000,Rouleaux formation in retinal artery (disorder)
65,vascular disease,S-449430006,Double aortic arch with left arch dominant and right arch patent (disorder)
66,vascular disease,S-297138001,Embolus of circle of Willis (disorder)
67,vascular disease,S-38907003,Varicella (disorder)
68,vascular disease,S-361209006,Dermite ocre of Favre (disorder)
69,vascular disease,S-64146000,Progressive pigmentary dermatosis of Schamberg (disorder)
70,vascular disease,S-93329009,Congenital malposition of innominate artery (disorder)
71,vascular disease,S-405585001,Traumatic aorto-enteric fistula (disorder)
72,vascular disease,S-240485004,Hemorrhagic rubella (disorder)
73,vascular disease,S-703193000,Congenital malformation of dural sinus (disorder)
74,vascular disease,S-239946005,Postinfective Henoch-Schönlein purpura (disorder)
75,vascular disease,S-722642008,Major laceration of carotid artery (disorder)
76,vascular disease,S-276622005,Epicranial subaponeurotic hemorrhage (disorder)
77,vascular disease,S-403391003,Secondary erythromelalgia (disorder)
78,vascular disease,S-74561007,Kommerell's diverticulum (disorder)
79,vascular disease,S-276276004,Unruptured aneurysm of posterior inferior cerebellar artery (disorder)
80,vascular disease,S-764521002,Encircling double aortic arch (disorder)
81,vascular disease,S-735115007,Occlusion of left pontine artery (disorder)
82,vascular disease,S-443971004,Arteriosclerosis of artery of extremity (disorder)
83,vascular disease,S-16007751000119109,Thrombosis of artery of right upper extremity (disorder)
84,vascular disease,S-15972461000119101,Thrombosis of left iliac artery (disorder)
85,vascular disease,S-307318007,Rupture posterior tibial artery (disorder)
86,vascular disease,S-276270005,Unruptured aneurysm of middle cerebral artery (disorder)
87,vascular disease,S-1055001,Stenosis of precerebral artery (disorder)
88,vascular disease,S-136781000119101,Acute deep venous thrombosis of lower extremity as complication of procedure (disorder)
89,vascular disease,S-21234008,Congenital stenosis of aorta (disorder)
90,vascular disease,S-210908000,Injury of multiple blood vessels at hip and thigh level (disorder)
91,vascular disease,S-254211001,Salmon patch nevus (disorder)
92,vascular disease,S-10878002,Aneurysm of common carotid artery (disorder)
