component,name,root,ontology,depth,points,notes
congestive heart failure,congestive heart failure,S-42343007,SNOMED_local,-1,1,
congestive heart failure,pulmonary oedema,S-19242006,SNOMED_local,-1,1,
hypertension,hypertension,S-38341003,SNOMED_local,-1,1,
diabetes mellitus,diabetes mellitus,S-73211009,SNOMED_local,-1,1,
diabetes mellitus,Gliclazide,S-395731001,SNOMED_local,0,1,
diabetes mellitus,Gliclazide,S-325238000,SNOMED_local,0,1,
diabetes mellitus,Product containing insulin,S-39487003,SNOMED_local,0,1,
diabetes mellitus,Insulin,S-67866001,SNOMED_local,0,1,substance
diabetes mellitus,Metformin,S-372567009,SNOMED_local,0,1,
diabetes mellitus,Metformin,S-109081006,SNOMED_local,0,1,
stroke,stroke,S-230690007,SNOMED_local,-1,2,
stroke,thromboembolism,S-371039008,SNOMED_local,-1,2,
stroke,DVT,S-128053003,SNOMED_local,-1,2,
stroke,pulmonary embolism,S-59282003,SNOMED_local,-1,2,
vascular disease,Peripheral vascular disease,S-400047006,SNOMED_local,-1,1,
vascular disease,myocardial infarction,S-22298006,SNOMED_local,-1,1,
vascular disease,aortic aneurysm,S-67362008,SNOMED_local,-1,1,
Female,Female,Female,Test,0,1,
Age gte75,Age gte 75 years,Age_gte75,Test,0,2,
Age 65-74,Age 65-74,Age_65-74,Test,0,1,
